EN_AMT               | 19 | 2 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
H_AMOUNT             | 18 | 3 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
H_D_C                | 1 | 0 | Char | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
NB_REVERSE           | 1 | 0 | Char | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
EN_SIGN              | 1 | 0 | Numeric | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
EN_TYPE              | 1 | 0 | Numeric | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
H_LEG_ID             | 1 | 0 | Numeric | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
EN_CUR               | 3 | 0 | Char | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
TYPE_NB              | 3 | 0 | Char | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
TRN_FMLY             | 5 | 0 | Char | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
TRN_GRP              | 5 | 0 | Char | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
TRN_TYPE             | 5 | 0 | Char | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
NB_RULE              | 6 | 0 | Numeric | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
EN_DATE              | 8 | 0 | Date | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
SYS_DATE             | 8 | 0 | Date | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
VAL_DATE             | 8 | 0 | Date | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
H_CNT_ORG            | 10 | 0 | Numeric | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
H_CONTRACT           | 10 | 0 | Numeric | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
NB                   | 10 | 0 | Numeric | ACC_EN_JOURNAL.REP   | ACC_ENTRY_JOURNAL    | User Additional | Accounting (Reporting)
