U_CIFNO              | 20 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_CIFNO2             | 20 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_CIFNODEF           | 20 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_REGION             | 20 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_SHORTNM1           | 80 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_SHORTNM2           | 80 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_SHORTNME           | 80 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
ZMOP_CRTOP           | 15 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
ZMOP_CRTTD           | 20 | 0 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
BUY_AMT01            | 15 | 2 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
BUY_CUR01            | 3 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
CIFNO                | 21 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
CRT_BND12            | 8 | 0 | Date | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
NB                   | 10 | 0 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
NB_EXT               | 10 | 0 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
QTY_INDEX            | 3 | 0 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
RM_FXBASE            | 15 | 8 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
CLASS                | 10 | 0 | Char | ACAC.REP             | DYN_ACAC             | Murex | Copy Creation
DESC                 | 100 | 0 | Char | ACAC.REP             | DYN_ACAC             | Murex | Copy Creation
ID                   | 10 | 0 | Numeric | ACAC.REP             | DYN_ACAC             | Murex | Copy Creation
LABEL                | 40 | 0 | Char | ACAC.REP             | DYN_ACAC             | Murex | Copy Creation
