ACC_CUR              | 3 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_AMOUNT             | 21 | 4 | American | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_CCFRMCD1           | 8 | 0 | Date | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_CCFRMCD2           | 8 | 0 | Date | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_CCRATE             | 19 | 6 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_CURRENCY           | 3 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_DTEEVENT           | 8 | 0 | Date | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_LEG                | 3 | 0 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_OBSCOM             | 1 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_TYPE               | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_TYPELAB0           | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_TYPELAB1           | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
ACC_CUR              | 3 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
F_AMOUNT             | 21 | 4 | American | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
F_CURRENCY           | 3 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
F_OBSCOM             | 1 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
F_TYPE               | 10 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
F_VALUE              | 8 | 0 | Date | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
G_F_BRK              | 1 | 0 | Numeric | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
INSTRUMENT           | 35 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
PL_INSCUR            | 20 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
PL_KEY1              | 30 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
RSKSECTION           | 20 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
SC_FC_AC             | 14 | 7 | Numeric | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
SC_FC_UC             | 14 | 7 | Numeric | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
TP_CNTRP             | 35 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
TP_DSCTYPE           | 30 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
TP_PFOLIO            | 15 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
USER_CUR             | 3 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
CMP_ORG              | 10 | 0 | Numeric | CNT_EVT_AUD.REP      | DYN_CNT_EVT_AUD      | Murex | Trade version audit
CNT_ORG              | 10 | 0 | Numeric | CNT_EVT_AUD.REP      | DYN_CNT_EVT_AUD      | Murex | Trade version audit
FLD_LBL              | 32 | 0 | Char | CNT_EVT_AUD.REP      | DYN_CNT_EVT_AUD      | Murex | Trade version audit
FLD_VAL              | 32 | 0 | Char | CNT_EVT_AUD.REP      | DYN_CNT_EVT_AUD      | Murex | Trade version audit
VERSION              | 3 | 0 | Numeric | CNT_EVT_AUD.REP      | DYN_CNT_EVT_AUD      | Murex | Trade version audit
AA_DESC              | 50 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
AA_HOLDER            | 35 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
AA_LABEL             | 40 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
AA_OWNER             | 35 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
AC_IBA               | 1 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
BC_ACCINT            | 24 | 2 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
BF_ADJUST            | 24 | 2 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
BF_CLOSING           | 24 | 2 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
BF_OPENING           | 24 | 2 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
BF_SETTLED           | 24 | 2 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
F_TYPELAB2           | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_TYPELAB3           | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_TYPELAB4           | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
F_VALUE              | 8 | 0 | Date | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
G_BRK                | 1 | 0 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
INSTRUMENT           | 35 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
NB                   | 10 | 0 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
SC_FC_AC             | 14 | 7 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
SC_FC_UC             | 14 | 7 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
TP_CNTRP             | 35 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
TP_PFOLIO            | 15 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
TP_RTFV0             | 1 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
TRN_GTYPE            | 3 | 0 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS        
AMD_STS2             | 2 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
CNT_EVTCLS           | 10 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
CNT_ORG              | 10 | 0 | Numeric | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
CONTRACT             | 10 | 0 | Numeric | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
C_DESC               | 10 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
MRPL_ONB             | 10 | 0 | Numeric | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
NB                   | 10 | 0 | Numeric | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
DC_CUR               | 3 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_BCTP              | 35 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_EDATE             | 8 | 0 | Date | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_ENT               | 10 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_NACC              | 40 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_OCTP              | 35 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_PR                | 1 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_QTY               | 24 | 8 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_RDATE             | 8 | 0 | Date | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_REF               | 10 | 0 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_STATUS            | 20 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_TRDREF            | 10 | 0 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_TTYPO             | 20 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_TYPE0             | 4 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_VACC              | 40 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_VDATE             | 8 | 0 | Date | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JC_CUR               | 3 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JC_RATE              | 18 | 8 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JC_SMARGIN           | 18 | 8 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JI_CREDIT            | 24 | 8 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JI_DATE              | 8 | 0 | Date | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JI_DEBIT             | 24 | 8 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JI_EVTCL             | 255 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
V_TSD                | 8 | 0 | Date | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_TSH                | 8 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_TST                | 8 | 0 | Numeric | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
