Z_COUPON_M           | 14 | 8 | Numeric | MD_YIELDCURVE.REP    | DYN_MD_YIELDCURVE    | Murex | Data Dictionary (Market Data Loader)
PATH                 | 512 | 0 |  | NAV_AUD.REP          | DYN_NAV_AUD          | Murex | Navigation templates
RIGHTS               | 32 | 0 | Numeric | NAV_AUD.REP          | DYN_NAV_AUD          | Murex | Navigation templates
TEMPLATEI            | 10 | 2 | Numeric | NAV_AUD.REP          | DYN_NAV_AUD          | Murex | Navigation templates
TEMPLATEL            | 32 | 0 | Char | NAV_AUD.REP          | DYN_NAV_AUD          | Murex | Navigation templates
TRN_TYPE             | 6 | 0 | Char | OSWP_CALL_DT.REP     | DYN_OSWP_CALL_DT     | Murex | Simulation
TYPOLOGY             | 21 | 0 | Char | OSWP_CALL_DT.REP     | DYN_OSWP_CALL_DT     | Murex | Simulation
LEVEL9               | 63 | 0 | Char | PFOLIO_TREE.REP      | DYN_PFOLIO_TREE      | Murex | Classification tree
ROOT                 | 63 | 0 | Char | PFOLIO_TREE.REP      | DYN_PFOLIO_TREE      | Murex | Classification tree
TRN_FMLY             | 5 | 0 | Char | PL_ARCH.REP          | DYN_PL_ARCH          | Murex | DYN_TRNRP_PL        
TRN_GRP              | 5 | 0 | Char | PL_ARCH.REP          | DYN_PL_ARCH          | Murex | DYN_TRNRP_PL        
TRN_GTYPE            | 3 | 0 | Numeric | PL_ARCH.REP          | DYN_PL_ARCH          | Murex | DYN_TRNRP_PL        
TRN_TYPE             | 5 | 0 | Char | PL_ARCH.REP          | DYN_PL_ARCH          | Murex | DYN_TRNRP_PL        
USER_CUR             | 3 | 0 | Char | PL_ARCH.REP          | DYN_PL_ARCH          | Murex | DYN_TRNRP_PL        
TP_ENTITY            | 10 | 0 | Char | PL_ARCH.REP          | DYN_PL_ARCH          | Murex | DYN_TRNRP_PL        
V_EVT_REF            | 10 | 0 | Numeric | DM_I_SPOT_EXR.REP    | DY_I_SPOT_EXR        | User | DYN_TRNRP_MK        
V_EVT_VER            | 6 | 0 | Numeric | DM_I_SPOT_EXR.REP    | DY_I_SPOT_EXR        | User | DYN_TRNRP_MK        
CONTRACT             | 10 | 0 | Numeric | DM_I_SPOT_EXR.REP    | DY_I_SPOT_EXR        | User | DYN_TRNRP_MK        
PACKAGE              | 10 | 0 | Numeric | DM_I_SPOT_EXR.REP    | DY_I_SPOT_EXR        | User | DYN_TRNRP_MK        
V_TRD_REF            | 10 | 0 | Numeric | DM_I_SPOT_EXR.REP    | DY_I_SPOT_EXR        | User | DYN_TRNRP_MK        
V_EVT_OREF           | 10 | 0 | Numeric | DM_I_SPOT_EXR.REP    | DY_I_SPOT_EXR        | User | DYN_TRNRP_MK        
TP_STLMI             | 27 | 0 | Char | DM_E_IRD.REP         | DY_E_IRD             | User | DYN_TRNRP_PL        
TP_STRIKE            | 18 | 8 | Numeric | DM_E_IRD.REP         | DY_E_IRD             | User | DYN_TRNRP_PL        
TP_UCOLACT           | 20 | 0 | Char | DM_E_IRD.REP         | DY_E_IRD             | User | DYN_TRNRP_PL        
DT_ADFLW             | 1 | 0 | Char | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_CONV0             | 15 | 0 | Char | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_CURFLG            | 1 | 0 | Char | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_END0              | 8 | 0 | Date | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
