  |   | WL_FD_ACJS |   |   |   | NS ,NS , User Defined Date  |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | 260209               | FD_ACJS |   |   |   | ACJS_REF_DATA(REF_DATA),M_MX_REF_JOB_IDX1(MX_REF_JOB) |   |   |   | FEEDERS | ACJS.REP | 10 | DYN_ACJS             | Murex | Copy Creation | 6 |   |   | N | Detailed DBF | NS | Reporting Shifter Date -1 OD(COMMON) | Reporting Date -21 OD (COMMON) |   |   | EN_DATE=DENV('CRT_BND12').OR.EN_DATE=DENV('CRT_BND11')           |   |   |                                                                  | Murex Standard Report |  | 270209               |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | FD_ACJS |   |   |   | ACJS_REF_DATA(REF_DATA),M_MX_REF_JOB_IDX1(MX_REF_JOB) |   |   |   | FEEDERS | ACJS.REP | 10 | DYN_ACJS             | Murex | Copy Creation | 6 |   |   | N | Detailed DBF | NS | Reporting Shifter Date -1 OD(COMMON) | Reporting Date -21 OD (COMMON) |   |   | EN_DATE=DENV('CRT_BND12').OR.EN_DATE=DENV('CRT_BND11')           |   |   |                                                                  | Murex Standard Report |  |  |  | 0 |  |  | 0 | 0
  |   | FD_ACJS |   |   |   |   |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | LOD_TRNPC            | FD_ACJS |   |   |   | ACJS_REF_DATA(REF_DATA),M_MX_REF_JOB_IDX1(MX_REF_JOB) |   |   |   | FEEDERS | ACJS.REP | 10 | DYN_ACJS             | Murex | Copy Creation | 6 |   |   | N | Detailed DBF | NS | Reporting Shifter Date -1 OD(COMMON) | Reporting Date -21 OD (COMMON) |   |   | EN_DATE=DENV('CRT_BND12').OR.EN_DATE=DENV('CRT_BND11')           |   |   |                                                                  | Murex Standard Report | Prcocessing Center details for PLBS Reports |  |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | ACJS_Test |   |   |   | ACJS_TEST_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACJS_TEST.REP | 16 | ACJS_Test            | User | Copy Creation | 12 | 5 | 1 | N | Detailed DBF | NS | Reporting Shifter Date -1 OD(COMMON) | Reporting Date |   |   | EN_DATE=DENV('CRT_BND12').OR.EN_DATE=DENV('CRT_BND11')           |   |   |                                                                  | test |  |  |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | FD_ACJT |   |   |   | ACJT_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACJT.REP | 41 | DYN_ACJT             | Murex | Accounting (Reporting) | 52 | 11 | 0 | N | Detailed DBF | 9 | 8 | 9 |   |   |   |   |   |                                                                  | Murex Standard Report |  |  |  | 0 |  |  | 0 | 0
  |   | MX_ACT_JOBS_BF |   |   |   |   |   |   |   | ONE DATA SET | Y | 0 | DATA PUBLISHED | MXSTD                | MX_ACT_JOBS_FEED |   |   |   |   | SELECT  A.M_IDJOB AS M_IDJOB, A.M_DATE AS M_DATE, A.M_TIME AS M_TIME, A.M_ENDTIME AS M_ENDTIME, A.M_OWNER AS M_OWNER, A.M_STATUS AS M_STATUS, A.M_BATCH AS M_BATCH, A.M_CTX AS M_CTX, A.M_REF_SET AS M_REF_SET, A.M_REF_BATCH AS M_REF_BATCH, A.M_PID AS M_PID, A.M_GROUP AS M_GROUP, B.M_FLTTEMP AS M_FLTTEMP, D.M_TEMPLATE AS M_SCNTMPL, C.M_CLASS AS M_CLASS, CASE   WHEN E.M_OUTPUTTYP  = 0 THEN 'VIEWER'  WHEN E.M_OUTPUTTYP  = 1 THEN 'FILE'  WHEN E.M_OUTPUTTYP = 2 THEN 'SOAP'  WHEN E.M_OUTPUTTYP = 3 THEN 'TABLE'  WHEN E.M_OUTPUTTYP = 4 THEN 'EXCEL'  WHEN E.M_OUTPUTTYP = 5 THEN 'CSV'  WHEN E.M_OUTPUTTYP  =6 THEN 'PDF'  ELSE 'NONE'  END AS M_OUTPUTTYPE   FROM ACT_JOB_DBF A   LEFT JOIN ACT_SET_DBF B ON A.M_REF_SET = B.M_REF   LEFT JOIN DAPFILTER_DBF C  ON B.M_FLTTEMP = C.M_LABEL AND C.M_LABEL <> ''   LEFT JOIN SCANNERCFG_DBF D ON B.M_SCNTMPL = D.M_REFERENCE   LEFT JOIN ACT_JOBEXT_DBF E ON A.M_IDJOB = E.M_IDJOB  WHERE A.M_DATE>=@START_DATE:D AND A.M_DATE<= @END_DATE:D |   |   | FEEDERS | ACT_JOBS.REP | 20 |   |  | SQL |   |   |   |   |   |   |   |   |   |   |   |   |   |   | Data feeder for ACT_JOBS_REP table | Batch of feeders for ACT_JOBS_REP feed |  |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | AU25-JobsAudit |   |   |   |   | SELECT  A.M_IDJOB AS M_IDJOB, A.M_DATE AS M_DATE, A.M_TIME AS M_TIME, A.M_ENDTIME AS M_ENDTIME, A.M_OWNER AS M_OWNER, A.M_STATUS AS M_STATUS, A.M_BATCH AS M_BATCH, A.M_CTX AS M_CTX, A.M_REF_SET AS M_REF_SET, A.M_REF_BATCH AS M_REF_BATCH, A.M_PID AS M_PID, A.M_GROUP AS M_GROUP, B.M_FLTTEMP AS M_FLTTEMP, D.M_TEMPLATE AS M_SCNTMPL, C.M_CLASS AS M_CLASS, CASE   WHEN E.M_OUTPUTTYP  = 0 THEN 'VIEWER'  WHEN E.M_OUTPUTTYP  = 1 THEN 'FILE'  WHEN E.M_OUTPUTTYP = 2 THEN 'SOAP'  WHEN E.M_OUTPUTTYP = 3 THEN 'TABLE'  WHEN E.M_OUTPUTTYP = 4 THEN 'EXCEL'  WHEN E.M_OUTPUTTYP = 5 THEN 'CSV'  WHEN E.M_OUTPUTTYP  =6 THEN 'PDF'  ELSE 'NONE'  END AS M_OUTPUTTYPE   FROM ACT_JOB_DBF A   LEFT JOIN ACT_SET_DBF B ON A.M_REF_SET = B.M_REF   LEFT JOIN DAPFILTER_DBF C  ON B.M_FLTTEMP = C.M_LABEL AND C.M_LABEL <> ''   LEFT JOIN SCANNERCFG_DBF D ON B.M_SCNTMPL = D.M_REFERENCE   LEFT JOIN ACT_JOBEXT_DBF E ON A.M_IDJOB = E.M_IDJOB  WHERE A.M_DATE>=@START_DATE:D AND A.M_DATE<= @END_DATE:D |   |   | EXTRACTIONS | ACT_JOBS.REP | 20 |   |  | SQL |   |   |   |   |   |   |   |   |   |   |   |   |   |   | Job audit reports based on view execution jobs |  |  |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | CF03-StaticObjectsAlternateID |   |   |   |   | SELECT KEYMAP_STC_DBF.M_OBJ_ALT AS M_ALT_ID, KEYMAP_STC_DBF.M_OBJ_ASYS AS M_ALT_SYS,  KEYMAP_STC_DBF.M_OBJ_ATYP AS M_ALT_TYPE, KEYMAP_STC_DBF.M_OBJ_DESC AS M_LABEL,     'PARTY' AS M_TYPE, CPDF.M_ID AS M_ID ,  CPDF.M_DSP_LABEL AS M_DSP_LABEL FROM KEYMAP_STC_DBF, CLASS_MAPPING_DBF, TRN_CPDF_DBF CPDF WHERE KEYMAP_STC_DBF.M_OBJ_CLASS=CLASS_MAPPING_DBF.M_ID  AND KEYMAP_STC_DBF.M_OBJ_DESC = CPDF.M_LABEL AND CLASS_MAPPING_DBF.M_NAME LIKE 'MXSTATICSORGANIZATIONIPARTY%'  UNION  SELECT  KEYMAP_STC_DBF.M_OBJ_ALT AS M_ALT_ID,  KEYMAP_STC_DBF.M_OBJ_ASYS AS M_ALT_SYS, KEYMAP_STC_DBF.M_OBJ_ATYP AS M_ALT_TYPE, KEYMAP_STC_DBF.M_OBJ_DESC AS M_LABEL, 'PORTFOLIO' AS M_TYPE, NULL AS M_ID, '' AS M_DSP_LABEL FROM KEYMAP_STC_DBF, CLASS_MAPPING_DBF WHERE KEYMAP_STC_DBF.M_OBJ_CLASS=CLASS_MAPPING_DBF.M_ID  AND CLASS_MAPPING_DBF.M_NAME LIKE 'MXSTATICSORGANIZATIONIPORTFOLIO%' |   |   | EXTRACTIONS | ALTERNATE_ID.REP | 11 |   |  | SQL |   |   |   |   |   |   |   |   |   |   |   |   |   |   | Static objects' alternate ID listing report |  |  |  | 0 |  |  | 0 | 0
  |   | MX_ALTERNATE_BF |   |   |   |   |   |   |   | ONE DATA SET PER DAY | Y | 0 | DATA PUBLISHED | MXSTD                | MX_ALTERNATE_ID_FEED |   |   |   |   | SELECT KEYMAP_STC_DBF.M_OBJ_ALT AS M_ALT_ID, KEYMAP_STC_DBF.M_OBJ_ASYS AS M_ALT_SYS,  KEYMAP_STC_DBF.M_OBJ_ATYP AS M_ALT_TYPE, KEYMAP_STC_DBF.M_OBJ_DESC AS M_LABEL,     'PARTY' AS M_TYPE, CPDF.M_ID AS M_ID ,  CPDF.M_DSP_LABEL AS M_DSP_LABEL FROM KEYMAP_STC_DBF, CLASS_MAPPING_DBF, TRN_CPDF_DBF CPDF WHERE KEYMAP_STC_DBF.M_OBJ_CLASS=CLASS_MAPPING_DBF.M_ID  AND KEYMAP_STC_DBF.M_OBJ_DESC = CPDF.M_LABEL AND CLASS_MAPPING_DBF.M_NAME LIKE 'MXSTATICSORGANIZATIONIPARTY%'  UNION  SELECT  KEYMAP_STC_DBF.M_OBJ_ALT AS M_ALT_ID,  KEYMAP_STC_DBF.M_OBJ_ASYS AS M_ALT_SYS, KEYMAP_STC_DBF.M_OBJ_ATYP AS M_ALT_TYPE, KEYMAP_STC_DBF.M_OBJ_DESC AS M_LABEL, 'PORTFOLIO' AS M_TYPE, NULL AS M_ID, '' AS M_DSP_LABEL FROM KEYMAP_STC_DBF, CLASS_MAPPING_DBF WHERE KEYMAP_STC_DBF.M_OBJ_CLASS=CLASS_MAPPING_DBF.M_ID  AND CLASS_MAPPING_DBF.M_NAME LIKE 'MXSTATICSORGANIZATIONIPORTFOLIO%' |   |   | FEEDERS | ALTERNATE_ID.REP | 11 |   |  | SQL |   |   |   |   |   |   |   |   |   |   |   |   |   |   | ALTERNATE_ID_REP table will be feeded | ALTERNATE_ID_REP table will be feeded |  |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | FD_AU |   |   |   | AU_REF_DATA(REF_DATA) |   |   |   | FEEDERS | AU.REP | 21 | DYN_AU               | Murex | Copy Creation | 18 | 1 | 0 | N | Detailed DBF | NS | Contextual Yesterday | Contextual Today |   |   | DATE>=DENV("CRT_BND11").AND.DATE<=DENV("CRT_BND12")              |   |   |                                                                  | Murex Standard Report |  |  |  | 0 |  |  | 0 | 0
BOOK_PRICE           | 0 | BDF_BOOK_PRICE | 0 HRS:2 MINS :6.6 SECS | 20140314 | 4ISDOPS              | NS ,NS ,Reporting Date  | 7MISMSMAFSFCYB,7MISMSMAFSLCYB,7MISMSMAFSYPFCB,7MISMSMAFSYPLCB,7MISMSMHTMFCYB,7MISMSMHTMLCYB,7MYSMSMAFSFCYB,7MYSMSMAFSLCYB,7MYSMSMAFSYPFCB,7MYSMSMAFSYPLCB,7MYSMSMHTMFCYB,7MYSMSMHTMLCYB,IRD|BOND| | TRN_STATUS<>'DEAD'                                               |   | ONE DATA SET | Y | 0 | PRIVATE |                      | FD_BOOK_PRICE |   |   |   | BOOK_PRICE_REF_DATA(REF_DATA) |   |   |   | FEEDERS | BOOK_PRICE.REP | 66 | Bond_P&L(CONV&MI)    | User Additional | DYN_TRNRP_PL         | 52 | 20 | 1 | N | Detailed DBF | NS | NS | Reporting Date | 7MISMSMAFSFCYB,7MISMSMAFSLCYB,7MISMSMAFSYPFCB,7MISMSMAFSYPLCB,7MISMSMHTMFCYB,7MISMSMHTMLCYB,7MYSMSMAFSFCYB,7MYSMSMAFSLCYB,7MYSMSMAFSYPFCB,7MYSMSMAFSYPLCB,7MYSMSMHTMFCYB,7MYSMSMHTMLCYB |   |   |   | TRN_FMLY='IRD' .AND. TRN_GRP='BOND' .AND. TP_STATUS2<>'DEAD'     |                                                                  | Feeder for book price extraction | Batches of feeder for book price extraction | FLT_BOOK_PRICE       |                      | 0 |  |  | 0 | 0
VAR_BT_ACTPL_HK      | 0 | BF_BT_ACT_HKD |   |   |   | NS ,Date Shifter -2 OPEN DAYS,Date Shifter -1 OPEN DAY(EX) | HVAR_TRADDSK_HK |   |   | ONE DATA SET PER DAY | N | 4 | DATA PUBLISHED | BT_ACT_HKD           | FD_BT_ACT_HKD |   |   |   |   |   |   |   | FEEDERS | BT_ACT_HKD.REP | 17 | ERM_BT_ACT_HKD       | User | PL VAR | 14 | 3 | 0 | N | Consolidated DBF | NS | Contextual Yesterday | Contextual Today |   |   |   |   |   | Backtesting_HKD                                                  | Actual backtesting (HKD) | Actual backtesting (HKD) | GLF_BT_HKD           |                      | 1000 | By Threshold | BT_POS                           | 0 | 500
VAR_ACTPL            | 0 | BF_BT_ACT_MYR |   |   |   | NS ,Date Shifter -2 OPEN DAYS,Date Shifter -1 OPEN DAY(EX) | HVAR_TRADDSK |   |   | ONE DATA SET PER DAY | N | 4 | DATA PUBLISHED | BT_ACT_MYR           | FD_BT_ACT_MYR |   |   |   |   |   |   |   | FEEDERS | BT_ACT_MYR.REP | 17 | ERM_BT_ACT_MYR       | User | PL VAR | 14 | 3 | 0 | N | Consolidated DBF | NS | Contextual Yesterday | Contextual Today |   |   |   |   |   | Backtesting_MYR                                                  | Actual backtesting (MYR) | Actual backtesting (MYR) | GLF_BT_MYR           |                      | 1000 | By Threshold | BT_POS                           | 0 | 500
VAR_BT_ACTPL_SG      | 0 | BF_BT_ACT_SGD |   |   |   | NS ,Date Shifter -2 OPEN DAYS,Date Shifter -1 OPEN DAY(EX) | HVAR_TRADDSK_SG |   |   | ONE DATA SET PER DAY | N | 4 | DATA PUBLISHED | BT_ACT_SGD           | FD_BT_ACT_SGD |   |   |   |   |   |   |   | FEEDERS | BT_ACT_SGD.REP | 17 | ERM_BT_ACT_SGD       | User | PL VAR | 14 | 3 | 0 | N | Consolidated DBF | NS | Contextual Yesterday | Contextual Today |   |   |   |   |   | Backtesting_SGD                                                  | Actual backtesting (SGD) | Actual backtesting (SGD) | GLF_BT_SGD           |                      | 1000 | By Threshold | BT_POS                           | 0 | 500
VAR_4.2_BACK_TEST    | 0 | BF_BT_HKD |   |   |   | NS ,Date Shifter -2 OPEN DAYS,Date Shifter -1 OPEN DAY(EX) | HVAR_TRADDSK_HK |   |   | ONE DATA SET PER DAY | N | 4 | DATA PUBLISHED | BT_HKD               | FD_BT_HKD |   |   |   |   |   |   |   | FEEDERS | BT_HKD.REP | 17 | ERM_BT_HKD           | User | PL VAR | 14 | 3 | 0 | N | Consolidated DBF | NS | Contextual Yesterday | Contextual Today |   |   |   |   |   | Backtesting_HKD                                                  | Hypothetical backtesting (HKD) | Hypothetical backtesting (HKD) | GLF_BT_HKD           |                      | 1000 | By Threshold | BT_POS                           | 0 | 500
