REQ_TYPE             | 4 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MCDSP_STAT           | 6 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_FINDT           | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_INSDT           | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
INS_DATE             | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
SETTLEDATE           | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
VAL_DATE             | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
ASSET_TYPE           | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
COL_DIR              | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MOV_DIR              | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MS_REAS_C            | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RQDET_MTHD           | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MS_VERS              | 10 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
BASE_ID              | 10 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_EVID            | 10 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RUN_ID               | 10 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_STAT            | 11 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
XSUM_COUNT           | 12 | 0 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REQ_STAT             | 15 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CONTEXT              | 16 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
SOURCE               | 16 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
GLB_STAT             | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_CTPIA           | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_IT              | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_MTM             | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_OURIA           | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_SETL            | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RES_METHOD           | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_VLD             | 21 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
INSTRUMENT           | 21 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
PLC_SETLMT           | 21 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
VLDN_STATS           | 21 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
NB_REQS              | 24 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
NB_RQ_GRPS           | 24 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
UNIT                 | 25 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MS_BUS_STA           | 30 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
TYPE                 | 32 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
VERSION              | 32 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
COL_BOOK             | 36 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CTP                  | 36 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
LEGL_AGRMT           | 36 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
OURSELVES            | 36 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
PORTFOLIO            | 36 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MS_REAS_D            | 50 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MS_MESSAGE           | 255 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
ALLC_AMNT            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
AMNT_AGRED           | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
AS_COL_VAL           | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CTP_AMNT             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CTP_CTPIA            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CTP_IT               | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CTP_MTM              | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CTP_OURIA            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CTP_SETL             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPAMNT              | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSP_AMNT             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
FX_RATE              | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
HAIRCUT              | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
LOT_SIZE             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
OUR_AMNT             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
OUR_CTPIA            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
OUR_IT               | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
OUR_MTM              | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
OUR_OURIA            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
OUR_SETL             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
