CNT_TYPO             | 21 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
CNT_DSC              | 51 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
CG_PVE               | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
CG_MV_REV            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
CG_MV_CAP            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
CG_FIN               | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
CG_ADD_FE            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
CG_CS_CAP            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
CG_CS_REV            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
BD_CAP_FA            | 23 | 6 | Numeric | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
PORTFOLIO            | 16 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
TRADE_POS            | 10 | 0 | Numeric | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | Simulation
TRADE_NUM            | 10 | 0 | Numeric | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | Simulation
P_L__NOTP            | 12 | 2 | American | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | Simulation
P_L__LOCA            | 25 | 2 | American | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | Simulation
PORTFOLIO            | 16 | 0 | Char | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | Simulation
ACT_P_L__            | 12 | 2 | American | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | Simulation
DATE                 | 10 | 0 | Date | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | Simulation
ACT_P_L_1            | 25 | 2 | American | FXC_DETPL.REP        | DYN_FXC_DETPL        | Murex | Simulation
DCURRENCY            | 4 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
FAMILY               | 16 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
FX_DELTA             | 18 | 6 | American | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
FX_GAMMA             | 18 | 6 | American | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
FX_VEGA              | 18 | 6 | American | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
GCURRENCY            | 4 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
GROUP                | 5 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
INSTRUMEN            | 15 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
PORTFOLIO            | 16 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
TYPE                 | 16 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
TYPOLOGY             | 21 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
VCURRENCY            | 4 | 0 | Char | ERM_FXGR.REP         | MLC_MKT_FXGR         | User Additional | Simulation
CURRENCY             | 4 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
CURVE_NAM            | 16 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
DATE                 | 64 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
DV01__PAR            | 18 | 6 | American | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
DV01__ZER            | 18 | 6 | American | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
DV02__PAR            | 18 | 6 | American | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
DV02__ZER            | 18 | 6 | American | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
FAMILY               | 16 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
GROUP                | 5 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
