FD_BALD_C            | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
FD_BALD_D            | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
SD_BALC              | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
SD_BALC_C            | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
SD_BALC_D            | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
SD_BALD              | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
SD_BALD_C            | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
SD_BALD_D            | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
NB_BS                | 1 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
NB_REVERSE           | 1 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
EN_CUR               | 3 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
TYPE_NB              | 3 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
X_CUR                | 3 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
NB_AMD               | 3 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
NB_AMDTRN            | 3 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
NB_TRN_QTY           | 3 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
AVP_CAT              | 4 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
TRN_FMLY             | 5 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
TRN_GRP              | 5 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
TRN_TYPE             | 5 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
NB_RULE              | 6 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
EN_DATE              | 8 | 0 | Date | ACJD.REP             | DYN_ACJD             | Murex | 
PAY_DAT              | 8 | 0 | Date | ACJD.REP             | DYN_ACJD             | Murex | 
SYS_DATE             | 8 | 0 | Date | ACJD.REP             | DYN_ACJD             | Murex | 
VAL_DATE             | 8 | 0 | Date | ACJD.REP             | DYN_ACJD             | Murex | 
ACC_SEC              | 10 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
ENTITY               | 10 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
ID_CREDIT            | 10 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
ID_DEBIT             | 10 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
NB                   | 10 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
NB_MOP               | 10 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
NB_PREV              | 10 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
NB_TRN               | 10 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
TPID                 | 10 | 0 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
EN_CREDIT            | 20 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
EN_DEBIT             | 20 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
EN_COMMENT           | 50 | 0 | Char | ACJD.REP             | DYN_ACJD             | Murex | 
EN_AMT               | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
FD_BALC              | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
FD_BALC_C            | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
FD_BALC_D            | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
FD_BALD              | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
FD_BALD_C            | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
FD_BALD_D            | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
SD_BALC              | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
SD_BALC_C            | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
SD_BALC_D            | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
SD_BALD              | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
SD_BALD_C            | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
SD_BALD_D            | 19 | 2 | Numeric | ACJD.REP             | DYN_ACJD             | Murex | 
EN_CUR               | 3 | 0 | Char | ACJS.REP             | DYN_ACJS             | Murex | 
EN_DATE              | 8 | 0 | Date | ACJS.REP             | DYN_ACJS             | Murex | 
ENTITY               | 10 | 0 | Char | ACJS.REP             | DYN_ACJS             | Murex | 
EN_ACCOUNT           | 20 | 0 | Char | ACJS.REP             | DYN_ACJS             | Murex | 
EN_AMTC              | 24 | 2 | Numeric | ACJS.REP             | DYN_ACJS             | Murex | 
EN_AMTD              | 24 | 2 | Numeric | ACJS.REP             | DYN_ACJS             | Murex | 
D_C                  | 1 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
NB_BS                | 1 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
NB_REVERSE           | 1 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
EN_CUR               | 3 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
TYPE_NB              | 3 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
X_CUR                | 3 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
NB_AMD               | 3 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
NB_AMDTRN            | 3 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
NB_TRN_QTY           | 3 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
AVP_CAT              | 4 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
TRN_FMLY             | 5 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
TRN_GRP              | 5 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
TRN_TYPE             | 5 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
NB_RULE              | 6 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
EN_DATE              | 8 | 0 | Date | ACJT.REP             | DYN_ACJT             | Murex | 
PAY_DAT              | 8 | 0 | Date | ACJT.REP             | DYN_ACJT             | Murex | 
SYS_DATE             | 8 | 0 | Date | ACJT.REP             | DYN_ACJT             | Murex | 
VAL_DATE             | 8 | 0 | Date | ACJT.REP             | DYN_ACJT             | Murex | 
ACC_SEC              | 10 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
ENTITY               | 10 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
GENERIC_ID           | 10 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
NB                   | 10 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
NB_MOP               | 10 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
NB_PREV              | 10 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
NB_TRN               | 10 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
TPID                 | 10 | 0 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
ACCOUNT              | 20 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
EN_COMMENT           | 50 | 0 | Char | ACJT.REP             | DYN_ACJT             | Murex | 
AMOUNT_C             | 19 | 2 | American | ACJT.REP             | DYN_ACJT             | Murex | 
AMOUNT_D             | 19 | 2 | American | ACJT.REP             | DYN_ACJT             | Murex | 
FD_BAL               | 19 | 2 | American | ACJT.REP             | DYN_ACJT             | Murex | 
FD_BAL_C             | 19 | 2 | American | ACJT.REP             | DYN_ACJT             | Murex | 
FD_BAL_D             | 19 | 2 | American | ACJT.REP             | DYN_ACJT             | Murex | 
SD_BAL               | 19 | 2 | American | ACJT.REP             | DYN_ACJT             | Murex | 
SD_BAL_C             | 19 | 2 | American | ACJT.REP             | DYN_ACJT             | Murex | 
SD_BAL_D             | 19 | 2 | American | ACJT.REP             | DYN_ACJT             | Murex | 
EN_AMT               | 19 | 2 | Numeric | ACJT.REP             | DYN_ACJT             | Murex | 
ACC_SPC              | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
AUTO_REV             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_DEAD             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_CVCURF           | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_CVTYPE           | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_EXCH             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
LEVT_FLT             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
RULE_DEF             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
RULE_LINK            | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
RUL_VAL              | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_BS               | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_FLT              | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_IE               | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TYP_CDT              | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TYP_CDT1             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TYP_CDT2             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TYP_CDT3             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TYP_DBT              | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TYP_DBT1             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TYP_DBT2             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TYP_DBT3             | 1 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_BRO              | 1 | 0 | Numeric | ACR1.REP             | DYN_ACR1             | User | 
EVT_PERF             | 1 | 0 | Numeric | ACR1.REP             | DYN_ACR1             | User | 
TRN_CLASS            | 1 | 0 | Numeric | ACR1.REP             | DYN_ACR1             | User | 
EVT_CAPEXC           | 2 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_DEAL             | 2 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_LEGTYP           | 2 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLN            | 2 | 0 | Numeric | ACR1.REP             | DYN_ACR1             | User | 
FOR_CVCUR            | 3 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
LTRN_FMLY            | 5 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
LTRN_GRP             | 5 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
LTRN_TYPE            | 5 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_FMLY             | 5 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_GRP              | 5 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_TYPE             | 5 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
RUL_DVAL             | 8 | 0 | Date | ACR1.REP             | DYN_ACR1             | User | 
RUL_FVAL             | 8 | 0 | Date | ACR1.REP             | DYN_ACR1             | User | 
ACC_SPCF1            | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
ACC_SPCF2            | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
AVP_DET              | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT0               | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT1               | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_CI             | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLL0           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLL1           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLL2           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
