XG_FIXMOD            | 20 | 8 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_FIXMRG            | 10 | 5 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
SC2_FD_FN            | 14 | 7 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
TP_PFOLIO            | 15 | 0 | Char | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
DF_TRDREF            | 10 | 0 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_TTYPO             | 20 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_VDATE             | 8 | 0 | Date | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JI_DATE              | 8 | 0 | Date | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JI_DEBIT             | 24 | 8 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
AA_DESC              | 50 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JC_CUR               | 3 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
JC_RATE              | 18 | 8 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_REF               | 10 | 0 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_STATUS            | 20 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
FPNFR_CAP            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
MVNF_CAP             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
TP_PFOLIO            | 15 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
TRN_FMLY             | 5 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CNT_TYPO             | 20 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
FPFR_CAP             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
POS_ID               | 10 | 0 | Numeric | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFU_CAP            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
RSKSECTION           | 20 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
MVF_REV              | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFR_SM             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
PL_CS_MV             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
PL_INSCUR            | 3 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
ORIG_NB              | 10 | 0 | Numeric | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFR_FEE1            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CNT_DSC              | 50 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFR_REV             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFU_CAP             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
MVNF_REV             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFU_ALL             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFR_ASS            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFR_CAP             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
FPNFU_CAP            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFU_SM             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFR_REV            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
MVF_CAP              | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
USER_CUR             | 3 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFU_ASS            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
SC2_PL_UC            | 16 | 7 | Numeric | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFR_SM              | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
DF_EDATE             | 8 | 0 | Date | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
DF_ENT               | 10 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
BF_CLOSING           | 24 | 2 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
