DYN_TRNRP_CD,H_INDEX,Numeric,1
Collateral,RATIO,Numeric,2
Collateral,AGREEMNT,Char,1
DYN_TRNRP_CS,F_CCLLPD,Date,2
DYN_TRNRP_CS,TP_CMDFYS0,Char,2
DYN_TRNRP_CS,TP_CMDFYS1,Char,2
Simulation,TRN_FMLY,Char,59
DYN_TRNRP_PL,H_RE_EVT,Numeric,1
Data Dictionary (Market Data Loader),ZCOUPON,Numeric,1
DYN_TRNRP_CS,CNT_ORG,Numeric,29
Simulation,PAST_AND_,American,3
Data Dictionary (Market Data Loader),ALIAS,Char,14
DYN_TRNRP_PL,TP_RPMMNAT,Char,7
DYN_TRNRP_PL,H_DTEFST,Char,15
Simulation,TICBDTLP,Char,2
Collateral,PARENT_L1,,1
Collateral,PARENT_L3,,1
Collateral,PARENT_L2,,1
Collateral,PARENT_L5,,1
Collateral,PARENT_L4,,1
Deliverable Cash,N_BEN_CTY,Char,1
33,DF_BCTP,Char,1
DYN_TRNRP_PL,D_CIF,Char,1
DYN_TRNRP_CS,TP_ACCCPN,Numeric,5
DYN_TRNRP_PL,TP_RTAMT11,Numeric,1
Copy Creation,D_1OD,Date,2
DYN_TRNRP_CS,H_BACKD,Char,1
DYN_TRNRP_CS,D_ISPRICEC,Char,1
DYN_TRNRP_PL,C_PL_DT,Char,25
Simulation,RSKSECTION,Char,18
34,COUNTRY,Char,60
Simulation,MARGIN_CC,Char,2
DYN_TRNRP_PL,PAY_SPREAD,Numeric,1
Simulation,TOTAL_PL1,American,1
Simulation,JTD_SGD,American,1
DYN_TRNRP_MV,CNTLEVT2,Numeric,1
DYN_TRNRP_SV,D_CAL_PL,American,1
DYN_TRNRP_PL,D_PL_KEY1,Char,1
DYN_TRNRP_PL,PL_USD,Numeric,2
DYN_TRNRP_PL,D_LEG_TRS,Numeric,1
Copy Creation,D_DEF_UNIT,Numeric,1
51,INSTRUMENT,Char,2
Deliverable Cash,DF_ENT,Char,8
Copy Creation,FPNFR_CAP,Numeric,1
Simulation,DISCOUNT2,American,1
Simulation,ORIGIN_NU,Numeric,56
Copy Creation,SE_NOUT,Numeric,1
DYN_TRNRP_PL,SM_NM_USD,Numeric,1
Simulation,TOTAL_PL_,American,1
Copy Creation,D_MTM_DERV,Numeric,2
DYN_TRNRP_PL,H_SE_SEN,Char,1
49,PFE_GROS,Numeric,1
DYN_TRNRP_PL,PKG_ORG,Numeric,23
Accounting (Reporting),SD_BAL_C,American,1
DYN_TRNRP_PL,D_MTMTRSUS,American,1
Accounting (Reporting),SD_BAL_D,American,1
DYN_TRNRP_DT,REC_END,Char,1
DYN_TRNRP_MV,TP_STRIKE2,Numeric,10
DYN_TRNRP_PL,A_UDFBU1,Char,1
Copy Creation,D_PAY_CLN1,Char,1
DYN_TRNRP_PL,A_UDFBU2,Char,1
Copy Creation,RULE_LB,Char,1
Simulation,PREM__DIS,American,2
Simulation,TTM,American,3
DYN_TRNRP_MK,TP_LQTYS2,American,1
DYN_TRNRP_PL,D_NB_TIME,Numeric,1
Simulation,DV01,American,1
DYN_TRNRP_CS,TP_CNTRPFN,Char,2
Simulation,PASTPL,American,2
PL VAR,SND_ORDE1,American,1
DYN_TRNRP_PL,TP_RTCRS12,American,4
DYN_TRNRP_PL,BTRADER,Char,1
Simulation,H_DATEBUCD,Date,3
DYN_TRNRP_DT,TP_VALSTAT,Char,1
Simulation,FUND_NOMI,American,1
,VOSTRO4,Char,1
,VOSTRO5,Char,1
,VOSTRO6,Char,1
,VOSTRO7,Char,1
DYN_TRNRP_PL,TP_BS,Char,15
,VOSTRO1,Char,1
DYN_TRNRP_PL,INDEX_LAB,Char,1
,VOSTRO3,Char,1
,VOSTRO8,Char,1
,VOSTRO9,Char,1
Data Dictionary (Market Data Loader),QUOTEB,Numeric,1
DYN_TRNRP_DT,REC_COMP_F,Char,1
Deliverable Cash,DF_DATE,Date,7
,PL_INSCUR,Char,2
Simulation,FLOWDATE,Char,6
DYN_TRNRP_PL,NOMU2,Char,1
DYN_TRNRP_PL,NOMU1,Char,1
DYN_TRNRP_PL,TP_RTSTLF0,Numeric,1
,CONV_NF1,Numeric,1
,CONV_NF0,Numeric,1
DYN_TRNRP_MK,H_XPFWPRC,Numeric,1
DYN_TRNRP_PL,H_PREV12,Date,1
DYN_TRNRP_XG,QTY_INDEX2,Numeric,3
DYN_TRNRP_PL,ANS_ID,Numeric,1
Copy Creation,D_DEF_FREQ,Numeric,1
DYN_TRNRP_PL,H_BRW_SDTE,Date,1
DYN_TRNRP_CS,TP_PRICED,Numeric,1
51,CTP_IT,American,2
,XG_FIXAMTC,Char,1
DYN_TRNRP_PL,H_D_PRICE,Numeric,1
Simulation,PL_INSTR1,Char,4
33,DF_ADATE,Date,1
Simulation,OBSERVAT1,Char,1
Simulation,DISC_FWD,Char,13
Copy Creation,TAX_FREE,Char,1
Copy Creation,FST_END,Char,1
DYN_TRNRP_MK,TRN_FMLY,,7
DYN_TRNRP_PL,H_INITCAP0,Numeric,1
PL VAR,TYPE_NB,Char,1
Simulation,ADD_PL,American,3
Simulation,SWAP_MATUD,Date,1
Simulation,HI_KO_HIT,Char,1
Simulation,PL_INSTRU,Char,111
DYN_TRNRP_SV,SV_UNIT,Char,3
DYN_TRNRP_MK,INSTRUMENT,Char,9
Copy Creation,INTERFACE,Char,1
PL VAR,NB_TRN,Numeric,1
DYN_TRNRP_DT,DT_LGPR3,Char,1
DYN_TRNRP_DT,DT_LGPR2,Char,2
DYN_TRNRP_DT,DT_LGPR1,Char,3
DYN_TRNRP_DT,DT_LGPR0,Char,12
DYN_TRNRP_MK,TRN_GRP,,7
DYN_TRNRP_PL,TREATSID,Char,2
DYN_TRNRP_PL,H_CUSTBKR,Char,2
DYN_TRNRP_MV,DELI_DT_RT,Date,10
DYN_TRNRP_CS,TP_PRICEDN,Char,1
DYN_TRNRP_PL,PL_ALL0,American,5
DYN_TRNRP_PL,PL_ALL1,American,5
DYN_TRNRP_PL,PL_ALL2,American,7
DYN_TRNRP_PL,H_HOLCLN0,Char,1
DYN_TRNRP_PL,H_1MP_PREV,Date,1
PL VAR,USD_P_L_V,American,3
DYN_TRNRP_PL,TP_SECPTY,Numeric,2
DYN_TRNRP_MV,TP_RTPREC0,Char,1
DYN_TRNRP_DT,ACC_CUR,Char,1
DYN_TRNRP_PL,H_BRW_NOM1,Numeric,4
DYN_TRNRP_PL,H_BRW_NOM2,Numeric,3
DYN_TRNRP_PL,TP_RTDXC00,Date,13
DYN_TRNRP_DT,DT_CCINT0,American,5
DYN_TRNRP_DT,DT_CCINT1,American,3
DYN_TRNRP_CS,H_DEALPUR,Char,2
MRA,LEVEL_5,Char,1
MRA,LEVEL_4,Char,1
MRA,LEVEL_3,Char,1
MRA,LEVEL_2,Char,1
MRA,LEVEL_1,Char,1
DYN_TRNRP_PL,G_FGT_OPT,Char,3
DYN_TRNRP_CS,DATE,Date,2
,EN_ACCOUNT,Char,1
DYN_TRNRP_PL,MATDTE_M_1,Date,1
,F_CURRENCY,Char,2
DYN_TRNRP_MV,MP_R0,Numeric,2
Simulation,TR_FIRST_,American,1
DYN_TRNRP_PL,SM2_PL_NOM,Numeric,1
DYN_TRNRP_SV,H_SV_INS11,Char,1
DYN_TRNRP_CS,D_INT,American,1
DYN_TRNRP_PL,TP_RTFFIX1,Numeric,9
DYN_TRNRP_PL,TP_RTFFIX0,Numeric,15
DYN_TRNRP_PL,D_CUR_FIX,Numeric,1
DYN_TRNRP_PL,D_INITAMT,American,1
DYN_TRNRP_PL,H_PVUSD2,American,6
Simulation,FIXINGRIS,American,2
DYN_TRNRP_PL,H_BRWNOMU1,Char,6
DYN_TRNRP_PL,H_BRWNOMU2,Char,6
Deliverable Cash,V_BEN_ADR,Char,1
DYN_TRNRP_PL,CNTLEVTL0,Char,2
PL VAR,ACC_SEC,Char,1
DYN_TRNRP_PL,CNTLEVTL2,Char,6
Simulation,EQ_DELTAG,American,2
DYN_TRNRP_PL,D_STARTDT,Date,1
,CHK_MAN,Char,1
DYN_TRNRP_MV,SV_RTZCDT1,American,1
DYN_TRNRP_MV,SV_RTZCDT0,American,1
DYN_TRNRP_MV,SV_RTZCDT2,American,1
,MV_FMV2,American,2
,MV_FMV0,American,2
,MV_FMV1,American,2
DYN_TRNRP_PL,PL_CSFI2,American,79
DYN_TRNRP_PL,PL_CSFI1,American,57
DYN_TRNRP_PL,PL_CSFI0,American,50
,DIG_AMOUNT,Numeric,1
,SC0_MV_UC,Numeric,2
DYN_TRNRP_MV,IP_PNFC2,American,2
Data Dictionary (Market Data Loader),PILLAR_D,Date,3
51,RECM_CTPIA,Char,1
Copy Creation,D_GEN_NUM,Numeric,1
Collateral,MLCREF_WIN,,2
DYN_TRNRP_CS,H_DATE13,Date,3
DYN_TRNRP_CS,H_DATE12,Date,3
DYN_TRNRP_CS,H_DATE11,Date,5
DYN_TRNRP_CS,H_DATE10,Date,3
DYN_TRNRP_CS,H_DATE17,Date,2
DYN_TRNRP_CS,H_DATE16,Date,3
DYN_TRNRP_CS,H_DATE15,Date,3
DYN_TRNRP_MV,DISC_FACT,Numeric,10
DYN_TRNRP_PL,MP_SPOT22,Numeric,7
DYN_TRNRP_PL,MP_SPOT20,Numeric,5
DYN_TRNRP_PL,MP_SPOT21,Numeric,5
Simulation,VAAMT,American,1
DYN_TRNRP_SV,TP_DTEPMT,Date,1
DYN_TRNRP_PL,H_ID,Numeric,1
Deliverable nostro cash,DF_PR,Char,4
DYN_TRNRP_PL,H_M1OD2CAL,Date,3
DYN_TRNRP_SV,TP_RTDPC11,Date,1
DYN_TRNRP_SV,TP_RTDPC10,Date,1
,AMNT_OTH,Numeric,1
Copy Creation,D_BUY_USD,Numeric,2
Copy Creation,PRINCIPAL1,Numeric,1
Copy Creation,PRINCIPAL0,Numeric,1
DYN_TRNRP_XG,CONTRACT,Numeric,5
Copy Creation,SE_SEC_LS0,Numeric,2
DYN_TRNRP_PL,TP_IQTY,American,89
DYN_TRNRP_PL,D_TRNDTE_4,Date,6
DYN_TRNRP_PL,H_TRN_TIME,Char,1
DYN_TRNRP_CS,TP_DTEUND,Date,1
DYN_TRNRP_SV,TP_RTVLC11,Numeric,1
DYN_TRNRP_SV,TP_RTVLC10,Numeric,1
DYN_TRNRP_SV,TP_RTVLC12,Numeric,3
DYN_TRNRP_PL,H_CAPF2,American,6
DYN_TRNRP_PL,H_CAPF1,American,6
DYN_TRNRP_PL,D_DATEFIX,Date,2
Collateral,MLCREF_KOR,,4
DYN_TRNRP_PL,TP_RTMCLF0,Char,13
DYN_TRNRP_PL,TP_RTMCLF1,Char,8
DYN_TRNRP_CS,H_SETMOD,Char,1
Simulation,ADPTGAMMA,American,1
DYN_TRNRP_MK,H_EXT_REFN,Char,2
DYN_TRNRP_PL,QTY_INDEX2,Numeric,63
,TP_SECMKT,Char,1
SQL,TRN_FMLY,Char,1
DYN_TRNRP_PL,H_CAPFC,Numeric,2
DYN_TRNRP_DT,MRPL_DATE,Date,2
Simulation,CSFU_CAP,American,16
DYN_TRNRP_PL,D_PMT_TRS,Numeric,1
DYN_TRNRP_PL,CNTLIMPCL1,Char,37
DYN_TRNRP_PL,CNTLIMPCL0,Char,36
