Dynamic table type,Dynamic table field,field type,dbs.csv,hsbc.csv,taishin.csv,uob.csv,vietin.csv,woori.csv
DYN_TRNRP_PL,PL_CSFRV1,American,7,36,0,0,0,0
DYN_TRNRP_PL,PL_CSFRV0,American,7,37,0,0,0,0
DYN_TRNRP_PL,PL_CSFRV2,American,11,36,1,3,2,1
DYN_TRNRP_MV,H_TENOR_Y,Numeric,0,0,0,1,0,0
PL VAR,FD_BALC_C,Numeric,1,0,0,0,0,0
PL VAR,FD_BALC_D,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,NOM2,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,H_2ODDFFIX,Date,2,0,0,0,0,0
DYN_TRNRP_PL,D_IN,Numeric,1,0,0,0,0,0
DYN_TRNRP_MV,S_THETA0,American,0,1,0,0,0,0
,RATING,Char,0,1,0,0,0,0
DYN_TRNRP_PL,TP_CMUQC0,Char,0,0,0,2,0,3
DYN_TRNRP_PL,TP_CMUQC1,Char,0,0,0,2,0,2
DYN_TRNRP_XG,TP_RTMAT0,Date,1,0,0,0,0,0
DYN_TRNRP_XG,TP_RTMAT1,Date,1,0,0,0,0,0
Simulation,CURRENT_S,Numeric,0,0,0,0,0,4
MLC,INV_AGR,Char,3,0,0,0,0,0
Simulation,UND__MAT1D,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_NEPL1,Numeric,0,27,0,0,0,0
DYN_TRNRP_PL,H_NEPL2,Numeric,0,27,0,0,0,0
Collateral,AGR_EXP,Numeric,0,0,0,0,0,1
DYN_TRNRP_MV,TP_QTYEQ,American,10,0,1,3,1,5
Simulation,CURRENT_C,American,2,0,0,0,0,0
DYN_TRNRP_PL,D_TRNTYPE,Char,1,0,0,0,0,0
,MK_QTY,American,0,1,0,0,0,0
Simulation,MTMCS1001,American,0,1,0,0,0,0
Simulation,MTMCS1000,American,0,1,0,0,0,0
Simulation,SL_FFUT,Numeric,0,0,0,0,0,2
DYN_TRNRP_CS,D_PRMDT,Date,0,1,0,0,0,0
,FD_BAL_D,American,0,1,0,0,0,0
,FD_BAL_C,American,0,1,0,0,0,0
DYN_TRNRP_PL,H_DATE_SYS,Date,0,2,0,0,0,0
DYN_TRNRP_PL,H_FA_PSUBT,Char,4,0,0,0,0,0
DYN_TRNRP_PL,TP_GID,Char,0,35,4,4,3,17
DYN_TRNRP_PL,H_TRN_TYPE,Char,7,0,0,0,0,0
DYN_TRNRP_MK,TP_FXSCUR,Char,0,1,0,0,0,0
,MV_FCS1,American,0,2,0,0,0,0
DYN_TRNRP_DT,H_CCFRMCD2,Char,0,4,0,0,0,0
,MV_FCS0,American,0,2,0,0,0,0
DYN_TRNRP_PL,TP_CMGDF0,Date,0,0,1,2,1,1
DYN_TRNRP_PL,TP_CMGDF1,Date,0,0,0,1,0,0
DYN_TRNRP_PL,H_2MF1,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_2MF3,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_2MF2,Date,1,0,0,0,0,0
Copy Creation,MID,Numeric,1,0,0,0,0,2
DYN_TRNRP_PL,H_2MF4,Date,1,0,0,0,0,0
DYN_TRNRP_CS,CNTNEVTCL0,Char,5,0,0,0,0,0
DYN_TRNRP_PL,H_2MF6,Date,1,0,0,0,0,0
Simulation,SC2_PL_UC,Numeric,2,2,6,4,2,2
Simulation,STARTING_,American,0,1,0,0,0,0
DYN_TRNRP_PL,WK_MTENDHK,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,H_CURR_FIN,Char,0,6,0,0,0,0
Simulation,PL_USD,American,0,0,0,0,0,1
DYN_TRNRP_CS,AMNT_UOTH,Numeric,1,0,0,0,0,0
DYN_TRNRP_MK,V_CNT_SRC,Char,0,1,3,2,11,1
DYN_TRNRP_PL,TP_ENTLAT,Char,1,0,0,0,0,0
Simulation,DV_PFOWNER,Char,0,0,3,0,0,0
DYN_TRNRP_MV,TP_DTELST,Date,11,0,2,4,2,4
DYN_TRNRP_CS,M_SBTYP_RT,Char,1,0,0,0,0,0
Copy Creation,EVALDATE,Date,1,0,0,0,0,0
